NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Study Type,Locations
NCT02111096,A Study of LY2409021 in Participants With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT02111096,TERMINATED,"Diabetes Mellitus, Type 2",DRUG: LY2409021|DRUG: Sitagliptin|DRUG: Placebo|DRUG: Metformin|DRUG: Sulfonylurea,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"John Muir Health Network - The Osteoporosis Center, Concord, California, 94520, United States|Valley Endocrine, Fresno, Fresno, California, 93720, United States|National Research Institute, Los Angeles, California, 90057, United States|Suncoast Research Group, LLC, Miami, Florida, 33135, United States|New Horizon Research Center, Miami, Florida, 33175, United States|Clinical Research of West Florida, Inc., Tampa, Florida, 33603, United States|University of Hawaii, Honolulu, Hawaii, 96813, United States|East West Medical Institute, Honolulu, Hawaii, 96814, United States|Rocky Mountain Diabetes and Osteoporosis Center, Idaho Falls, Idaho, 83404, United States|Cedar-Crosse Research Center, Chicago, Illinois, 60607, United States|Midwest CRC, Crystal Lake, Illinois, 60012, United States|Iderc, P.L.C., Des Moines, Iowa, 50314, United States|Cotton O'Neil Clinic, Topeka, Kansas, 66606, United States|Centex Studies, Inc, Lake Charles, Louisiana, 70601, United States|Cosmopolitan International Diabetes Center, Columbia, Missouri, 65212, United States|Mercy Medical Research Institute, Springfield, Missouri, 65807, United States|Palm Research Center, Las Vegas, Nevada, 89148, United States|SHS Clinical Research Group, Toms River, New Jersey, 08753, United States|Office:Alwine,Lk, Downingtown, Pennsylvania, 19335, United States|University Diabetes and Endocrine Consultants, Chattanooga, Tennessee, 37411, United States|Dallas Diabetes Endocrine Center, Dallas, Texas, 75230, United States|Galenos Research, Dallas, Texas, 75251, United States|San Gabriel Clinical Research, Georgetown, Texas, 78626, United States|Oakwell Clinical Research, San Antonio, Texas, 78218, United States|Victorium Clinical Research, San Antonio, Texas, 78240, United States|Polyclinic, Seattle, Washington, 98104, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Athens, 11527, Greece|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Thessaloniki, 54636, Greece|PRADNET, Inc. Centro Especializado de Nutricion y Bariatria, Hato Rey, 00917, Puerto Rico|American Telemedicine Center, San Juan, 00917-3104, Puerto Rico|GCM Medical Group PSC, San Juan, 909, Puerto Rico|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Changhua, 500, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Yong Kung City, 71004, Taiwan"
NCT02093221,Study of Human Plasma-Derived Alpha1-Proteinase Inhibitor in Subjects With New-Onset Type 1 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT02093221,TERMINATED,Type 1 Diabetes Mellitus,BIOLOGICAL: 180 mg/kg Alpha1-PI|BIOLOGICAL: 90 mg/kg Alpha1-PI|BIOLOGICAL: Placebo,Grifols Therapeutics LLC,,ALL,"CHILD, ADULT",PHASE2,INTERVENTIONAL,"University of Arizona, Tucson, Arizona, 85724, United States|Clinica Medica San Miguel, Los Angeles, California, 90015, United States|Diabetes Associates Medical Group, Orange, California, 92868, United States|Rady Children's Hospital San Diego, San Diego, California, 92123, United States|Metabolic Institute of America, Tarzana, California, 91356, United States|Ronald H Chochinov MD, Ventura, California, 93003, United States|Yale New Haven Hospital, New Haven, Connecticut, 06511, United States|Christiana Care Health Services, Newark, Delaware, 19713, United States|Solutions Through Advanced Research Inc., Jacksonville, Florida, 32258, United States|CCM Clinical Research, Miami, Florida, 33133, United States|Advanced Pharma CR LLC, Miami, Florida, 33136, United States|Atlanta Diabetes Associates, Atlanta, Georgia, 30309, United States|Rocky Mountain Diabetes and Osteoporosis Center, Idaho Falls, Idaho, 83404, United States|Cook County Hospital, Chicago, Illinois, 60612, United States|Methodist Research Institute, Indianapolis, Indiana, 46202, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, 52242, United States|University of Louisville, Louisville, Kentucky, 40202, United States|Barry J. Reiner MD, LLC., Baltimore, Maryland, 21229, United States|UMass Memorial Medical Center, Worcester, Massachusetts, 01655, United States|Wayne State University, Detroit, Michigan, 48201, United States|Children's Hospitals and Clinics of Minnesota, Saint Paul, Minnesota, 55102, United States|Morristown Medical Center, Morristown, New Jersey, 07962, United States|University of New Mexico, Health Sciences Center, Albuquerque, New Mexico, 87131-0001, United States|Women and Children's Hospital, Buffalo, New York, 14222, United States|WakeMed Children's Hospital, Raleigh, North Carolina, 27610, United States|Endocrinology Associates Inc, Columbus, Ohio, 43201, United States|Ohio State University, Columbus, Ohio, 43210, United States|Pediatric Endocrinology, Genetics & Metabolism, Oklahoma City, Oklahoma, 73112, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19106, United States|Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, 15224, United States|Rapid City Regional Hospital/Health Clinical Research, Rapid City, South Dakota, 57701, United States|Research Institute of Dallas, Dallas, Texas, 75231, United States|University of Texas Southwestern Medical Center, Dallas, Texas, 75390, United States|Northeast Clinical Research of San Antonio LLC, San Antonio, Texas, 78154, United States|University of Texas Health Science Center, San Antonio, Texas, 78229, United States|Consano Clinical Research, San Antonio, Texas, 78232, United States"
NCT00747006,Safety and Efficacy of Technosphere® Insulin Inhalation Powder (TI Inhalation Powder)When an Optimal Dose is Taken With Varied Carbohydrate Intake,https://clinicaltrials.gov/study/NCT00747006,TERMINATED,"Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1",DRUG: TI Inhalation Powder and Humalog (Amendment 1)|DRUG: TI Inhalation Powder (original protocol),Mannkind Corporation,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Sansum Medical Research Institute, Santa Barbara, California, 93105, United States"
NCT01206101,Efficacy and Safety of Liraglutide in Subjects With Type 1 Diabetes Undergoing Islet Cell Transplantation,https://clinicaltrials.gov/study/NCT01206101,TERMINATED,"Diabetes|Diabetes Mellitus, Type 1",DRUG: liraglutide|DRUG: placebo,Novo Nordisk A/S,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Novo Nordisk Investigational Site, Duarte, California, 91010, United States|Novo Nordisk Investigational Site, Chicago, Illinois, 60612, United States|Novo Nordisk Investigational Site, Boston, Massachusetts, 02114, United States|Novo Nordisk Investigational Site, Madison, Wisconsin, 53792-0001, United States|Novo Nordisk Investigational Site, Edmonton, Alberta, T6G 2C8, Canada|Novo Nordisk Investigational Site, Vancouver, British Columbia, V5Z 1M9, Canada|Novo Nordisk Investigational Site, Besancon, 25030, France|Novo Nordisk Investigational Site, Grenoble, 38043, France|Novo Nordisk Investigational Site, Lille, 59037, France|Novo Nordisk Investigational Site, MONTPELLIER cedex 5, 34295, France|Novo Nordisk Investigational Site, Strasbourg, 67091, France|Novo Nordisk Investigational Site, Dresden, 01307, Germany|Novo Nordisk Investigational Site, Genève 14, 1211, Switzerland|Novo Nordisk Investigational Site, Zürich, 8091, Switzerland|Novo Nordisk Investigational Site, Headington, OX3 7LE, United Kingdom|Novo Nordisk Investigational Site, London, SE5 9RS, United Kingdom"
NCT01286090,An Efficacy and Safety Study of Cisapride for Improving Symptoms Associated With Gastroparesis in Patients With Diabetes Mellitus,https://clinicaltrials.gov/study/NCT01286090,TERMINATED,Gastroparesis|Diabetes Mellitus,DRUG: Cisapride|DRUG: Placebo,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,
NCT02889172,Intervention for Reducing Psychiatric Symptoms and Metabolic Variables in Patients With Diabetes Mellitus (DM),https://clinicaltrials.gov/study/NCT02889172,TERMINATED,"Diabetes Mellitus, Type 2",BEHAVIORAL: Problem Solving Therapy,Instituto Nacional de Psiquiatría Dr. Ramón de la Fuente,Universidad Nacional Autonoma de Mexico,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Instituto Nacional de Psiquiatría Dr. Ramón de la Fuente, Mexico city, 14370, Mexico"
NCT01467414,A Trial Investigating the Effect of NN1250 in Japanese Subjects With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT01467414,TERMINATED,"Diabetes|Diabetes Mellitus, Type 2",DRUG: insulin degludec,Novo Nordisk A/S,,ALL,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Neuss, 41460, Germany"
NCT01183468,A Research Trial of Aralast in New Onset Diabetes (RETAIN),https://clinicaltrials.gov/study/NCT01183468,TERMINATED,"Diabetes Mellitus, Type 1",BIOLOGICAL: Aralast NP 45 mg dose|BIOLOGICAL: Aralast NP 90 mg dose|BIOLOGICAL: Aralast NP 180 mg dose,National Institute of Allergy and Infectious Diseases (NIAID),Immune Tolerance Network (ITN)|Juvenile Diabetes Research Foundation,ALL,"CHILD, ADULT",PHASE1,INTERVENTIONAL,"RADY Children's Hospital (University of California, San Diego), San Diego, California, 92093, United States|Barbara Davis Center (University of Colorado), Aurora, Colorado, 80045, United States|Yale University, New Haven, Connecticut, 06520, United States|Atlanta Diabetes Associates, Atlanta, Georgia, 30309, United States|Children's Hospital of Atlanta (Emory University), Atlanta, Georgia, 30322, United States|University of Iowa Children's Hospital, Iowa City, Iowa, 52242, United States|University of Maryland Medical Center, Baltimore, Maryland, 21201, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Joslin Diabetes Center, Boston, Massachusetts, 02215, United States|University of Massachusetts Memorial Medical Center, Worcester, Massachusetts, 01655, United States|Children's Mercy Hospital, Kansas City, Missouri, 64108, United States|Naomi Berrie Diabetes Center (Columbia University), New York, New York, 10032, United States|Nationwide Children's Hospital, Columbus, Ohio, 43205, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Pacific Northwest Research Institute-University of Washington, Seattle, Washington, 98122, United States"
NCT04769765,Feasability of a Care Pathway Integrating Collaborative Tele-expertise to Prevent Recurring Hospitalisations for Diabetic Patients,https://clinicaltrials.gov/study/NCT04769765,TERMINATED,Diabetes Mellitus,OTHER: Definition of the Individualized Care Pathway,Centre Hospitalier Universitaire de Nīmes,"University Hospital, Montpellier|Alès Hospital|Bagnols sur Cèze Hospital|Sète Hospital|Narbonne Hospital|Béziers Hospital|Perpignan Hospital",ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Centre Hospitalier d'Alès, Alès, 30100, France|CH de Bagnols sur Cèze, Bagnols-sur-Cèze, France|CH de Beziers, Béziers, 34525, France|Centre Hospitalier Universitaire de Montpellier, Montpellier, France|CH de Narbonne HÔTEL DIEU, Narbonne cedex, 11108, France|Centre Hospitalier Saint Jean, Perpignan, 66000, France|Hopital St Clair Hbt Sete, Sète, 34207, France"
NCT04871958,"Individualized, Technological Interventions for Diabetes Care in the COVID-19 Ward",https://clinicaltrials.gov/study/NCT04871958,TERMINATED,Diabetes Mellitus|Covid19,"DEVICE: Continuous glucose monitoring (CGM, Dexcom G6)",Federico II University,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Federico II University Hospital, Naples, 80131, Italy"
NCT01101945,Long-term Extension Study to Evaluate the Safety of Dutogliptin/PHX1149T in Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT01101945,TERMINATED,Type 2 Diabetes Mellitus,DRUG: dutogliptin,Phenomix,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Fullerton, California, United States|Long Beach, California, United States|Orange, California, United States|San Diego, California, United States|Kissimmee, Florida, United States|Melbourne, Florida, United States|New Port Richey, Florida, United States|Gurnee, Illinois, United States|Wichita, Kansas, United States|Kansas City, Missouri, United States|Henderson, Nevada, United States|Las Vegas, Nevada, United States|Berlin, New Jersey, United States|Margate City, New Jersey, United States|Trenton, New Jersey, United States|Charlotte, North Carolina, United States|Winston-Salem, North Carolina, United States|Cincinnati, Ohio, United States|Oklahoma City, Oklahoma, United States|Medford, Oregon, United States|Warminster, Pennsylvania, United States|Columbia, South Carolina, United States|Greer, South Carolina, United States|Dallas, Texas, United States|San Antonio, Texas, United States|Salt Lake City, Utah, United States|Norfolk, Virginia, United States|Cuidad Autonoma de Buenos Aires, Buenos Aires, Argentina|La Plata, Buenos Aires, Argentina|Lanus Este, Buenos Aires, Argentina|Moron, Buenos Aires, Argentina|Quilmes, Buenos Aires, Argentina|Corrientes, Argentina|Calgary, Alberta, Canada|Red Deer, Alberta, Canada|Mount Pearl, Newfoundland and Labrador, Canada|St. John's, Newfoundland and Labrador, Canada|Etobicoke, Ontario, Canada|London, Ontario, Canada|Samia, Ontario, Canada|Toronto, Ontario, Canada|Cornwall, Prince Edward Island, Canada|Mirabel, Quebec, Canada|Montreal, Quebec, Canada|Ellisbridge, Ahmedabad, India|Banjara Hills, Hyderabad, India|Punjagutta, Hyderabad, India|Pune, Maharashtra, India|Tardeo, Mumbai, India|Dhantoli, Nagpur, India|Chennai, Tamilnadu, India|Mexico City, Distrito Federal, Mexico|Guadalajara, Jalisco, Mexico|Morelia, Michoacan, Mexico|Monterrey N. L., Nuevo Leon, Mexico"
NCT02370719,Evaluation of an mHealth Behavioural Intervention for the Self-Management for Type 2 Diabetes,https://clinicaltrials.gov/study/NCT02370719,TERMINATED,Type 2 Diabetes Mellitus,BEHAVIORAL: Mobile application for diabetes self-management,"University Health Network, Toronto",MOUNT SINAI HOSPITAL|University of Toronto|Canadian Institutes of Health Research (CIHR),ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Mount Sinai Hospital, Toronto, Ontario, M5T3L9, Canada"
NCT02862431,"Study to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of JNJ-64565111 in Type 2 Diabetes Mellitus (T2DM)",https://clinicaltrials.gov/study/NCT02862431,TERMINATED,"Diabetes Mellitus, Type 2",DRUG: JNJ-64565111|DRUG: Placebo,"Janssen Research & Development, LLC",,ALL,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Neuss, Germany"
NCT01189422,Subcutaneous Administration of Teplizumab in Adults With Type 1 Diabetes,https://clinicaltrials.gov/study/NCT01189422,TERMINATED,Type 1 Diabetes Mellitus,DRUG: teplizumab or placebo,MacroGenics,Eli Lilly and Company,ALL,ADULT,PHASE1,INTERVENTIONAL,
NCT03684642,Efficacy and Safety of Efpeglenatide Versus Dulaglutide in Patients With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin,https://clinicaltrials.gov/study/NCT03684642,TERMINATED,Type 2 Diabetes Mellitus,DRUG: Efpeglenatide|DRUG: Dulaglutide|DRUG: Background therapy Metformin,Sanofi,Hanmi Pharmaceutical Company Limited,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Investigational Site Number 8400038, Birmingham, Alabama, 35211, United States|Investigational Site Number 8400035, Chandler, Arizona, 85224, United States|Investigational Site Number 8400005, Glendale, Arizona, 85306, United States|Investigational Site Number 8400054, Peoria, Arizona, 85381, United States|Investigational Site Number 8400057, Huntington Park, California, 90255, United States|Investigational Site Number 8400009, Los Angeles, California, 90057, United States|Investigational Site Number 8400007, San Diego, California, 92120, United States|Investigational Site Number 8400045, Spring Valley, California, 91978, United States|Investigational Site Number 8400040, Tustin, California, 92780, United States|Investigational Site Number 8400026, Van Nuys, California, 91405, United States|Investigational Site Number 8400050, Waterbury, Connecticut, 06708, United States|Investigational Site Number 8400055, Orlando, Florida, 32825, United States|Investigational Site Number 8400041, Pembroke Pines, Florida, 33026, United States|Investigational Site Number 8400025, Lawrenceville, Georgia, 30044, United States|Investigational Site Number 8400060, Meridian, Idaho, 83642, United States|Investigational Site Number 8400059, Skokie, Illinois, 60077, United States|Investigational Site Number 8400044, Lexington, Kentucky, 40503, United States|Investigational Site Number 8400061, Boston, Massachusetts, 02115, United States|Investigational Site Number 8400001, Bridgeton, New Jersey, 08302, United States|Investigational Site Number 8400039, New Windsor, New York, 12553, United States|Investigational Site Number 8400028, Burlington, North Carolina, 27215, United States|Investigational Site Number 8400036, Morehead City, North Carolina, 28557, United States|Investigational Site Number 8400013, Maumee, Ohio, 43537, United States|Investigational Site Number 8400014, Goose Creek, South Carolina, 29445, United States|Investigational Site Number 8400030, Dallas, Texas, 75230, United States|Investigational Site Number 8400020, San Antonio, Texas, 78218, United States|Investigational Site Number 8400043, San Antonio, Texas, 78229, United States|Investigational Site Number 8400053, San Antonio, Texas, 78258, United States|Investigational Site Number 8400037, Layton, Utah, 84041, United States|Investigational Site Number 8400049, Manassas, Virginia, 20110, United States|Investigational Site Number 3480004, Budapest, 1036, Hungary|Investigational Site Number 3480003, Debrecen, 4025, Hungary|Investigational Site Number 3480001, Gyula, 5700, Hungary|Investigational Site Number 3480005, Hatvan, 3000, Hungary|Investigational Site Number 3480002, Nyíregyháza, 4400, Hungary|Investigational Site Number 6160008, Gdansk, 80-382, Poland|Investigational Site Number 6160004, Gdynia, 81-537, Poland|Investigational Site Number 6160010, Katowice, 40-040, Poland|Investigational Site Number 6160009, Poznan, 60-702, Poland|Investigational Site Number 6160003, Warszawa, 01-192, Poland|Investigational Site Number 6160001, Wroclaw, 50-381, Poland|Investigational Site Number 8040003, Kyiv, 02002, Ukraine|Investigational Site Number 8040001, Kyiv, 03037, Ukraine|Investigational Site Number 8040002, Kyiv, 03049, Ukraine|Investigational Site Number 8040004, Vinnytsia, 21050, Ukraine"
NCT00998686,Safety and Efficacy Study of Dutogliptin in Subjects With Type 2 Diabetes Mellitus on a Background Medication of Metformin,https://clinicaltrials.gov/study/NCT00998686,TERMINATED,Type 2 Diabetes Mellitus,DRUG: dutogliptin|DRUG: sitagliptin,Phenomix,Forest Laboratories,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Phenomix Investigational Site 105, Montgomery, Alabama, United States|Phenomix Investigational Site 121, Tempe, Arizona, United States|Phenomix Investigational Site 137, Tempe, Arizona, United States|Phenomix Investigational Site 105, Anaheim, California, United States|Phenomix Investigational Site 103, Long Beach, California, United States|Phenomix Investigational Site 106, Los Angeles, California, United States|Phenomix Investigational Site 143, Coral Gables, Florida, United States|Phenomix Investigational Site 142, Hialeah, Florida, United States|Phenomix Investigational Site 133, Kissimmee, Florida, United States|Phenomix Investigational Site 101, Honolulu, Hawaii, United States|Phenomix Investigational Site 135, Chicago, Illinois, United States|Phenomix Investigational Site 124, Indianapolis, Indiana, United States|Phenomix Investigational Site 136, Brockton, Massachusetts, United States|Phenomix Investigational Site 138, Biloxi, Mississippi, United States|Phenomix Investigational Site 122, Las Vegas, Nevada, United States|Phenomix Investigational Site 140, Las Vegas, Nevada, United States|Phenomix Investigational Site 110, Trenton, New Jersey, United States|Phenomix Investigational Site 116, Albuquerque, New Mexico, United States|Phenomix Investigational Site 107, Winston-Salem, North Carolina, United States|Phenomix Investigational Site 112, Greenville, South Carolina, United States|Phenomix Investigational Site 102, Dallas, Texas, United States|Phenomix Investigational Site 104, San Antonio, Texas, United States|Phenomix Investigational Site 100, Kenosha, Wisconsin, United States|Phenomix Investigational Site 402, Buenos Aires, Argentina|Phenomix Investigational Site 408, Buenos Aires, Argentina|Phenomix Investigational Site 410, Mendoza, Argentina|Phenomix Investigational Site 208, Praha 10, Czech Republic|Phenomix Investigational Site 209, Praha 4 Chodov, Czech Republic|Phenomix Investigational Site 207, Unicov, Czech Republic|Phenomix Investigational Site 707, Shastrinagar, Jaipur, India|Phenomix Investigational Site 701, Bangalore, Karnataka, India|Phenomix Investigational Site 705, Trivandrum, Kerala, India|Phenomix Investigational Site 706, Indore, Madhya Pradesh, India|Phenomix Investigational Site 711, Mumbai, Maharashtra, India|Phenomix Investigational Site 607, Arequipa, Peru|Phenomix Investigational Site 601, Ica, Peru|Phenomix Investigational Site 604, Lima, Peru|Phenomix Investigational Site 610, Lima, Peru|Phenomix Investigational Site 300, Gdansk, Poland|Phenomix Investigational Site 309, Karkow, Poland|Phenomix Investigational Site 303, Katowice, Poland|Phenomix Investigational Site 306, Pulawy, Poland|Phenomix Investigational Site 305, Warszawa, Poland|Phenomix Investigational Site 302, Wroclaw, Poland"
NCT03260868,Evaluation of Virtual Versus Traditional Study Conducted in a Group Pilot Study in Adult Patients With Type 1 Diabetes Mellitus (eStudy),https://clinicaltrials.gov/study/NCT03260868,TERMINATED,Type 1 Diabetes Mellitus,"DRUG: Insulin glargine, 300 units per milliliter (U/mL)|DRUG: Background therapy: Rapid Acting meal time insulin analogs (Humalog, Novolog or Apidra)",Sanofi,,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Investigational Site Number 8400002, West Des Moines, Iowa, 50265, United States|Investigational Site Number 8400004, Houston, Texas, 77043, United States|Investigational Site Number 8400003, Bridgeport, West Virginia, 26330, United States|Investigational Site Number 1240001, Barrie, L4M 7G1, Canada|Investigational Site Number 1240003, Oakville, L6M 1M1, Canada|Investigational Site Number 1240002, Thornhill, L4J 8L7, Canada"
NCT05833100,Method Comparison/User Evaluation of the i-SENS Self-Monitoring Blood Glucose / β-Ketone System,https://clinicaltrials.gov/study/NCT05833100,TERMINATED,Diabetes,DEVICE: CareSens PRO GK Blood Glucose/b-Ketone Monitoring system,"i-SENS, Inc.",Avania|Rainier Clinical Research Center,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Rainier Clinical Research Center, Renton, Washington, 98057, United States"
NCT00850239,Safety and Efficacy Study of Dutogliptin/PHX1149T in Subjects With Type 2 Diabetes Mellitus on a Background Medication of Metformin,https://clinicaltrials.gov/study/NCT00850239,TERMINATED,Type 2 Diabetes Mellitus,DRUG: dutogliptin|DRUG: placebo,Phenomix,Forest Laboratories,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Phenomix Investigational Site 115, Montgomery, Alabama, United States|Phenomix Investigational Site 121, Tempe, Arizona, United States|Phenomix Investigational Site 137, Tempe, Arizona, United States|Phenomix Investigational Site 105, Anaheim, California, United States|Phenomix Investigational Site 123, Chico, California, United States|Phenomix Investigational Site 134, Escondido, California, United States|Phenomix Investigational Site 103, Long Beach, California, United States|Phenomix Investigational Site 106, Los Angeles, California, United States|Phenomix Investigational Site 143, Coral Gables, Florida, United States|Phenomix Investigational Site 142, Hialeah, Florida, United States|Phenomix Investigational Site 119, Jacksonville, Florida, United States|Phenomix Investigational Site 133, Kissimmee, Florida, United States|Phenomix Investigational Site 141, Dunwoody, Georgia, United States|Phenomix Investigational Site 101, Honolulu, Hawaii, United States|Phenomix Investigational Site 135, Chicago, Illinois, United States|Phenomix Investigational Site 124, Indianapolis, Indiana, United States|Phenomix Investigational Site 127, Indianapolis, Indiana, United States|Phenomix Investigational Site 136, Brockton, Massachusetts, United States|Phenomix Investigational Site 125, Kalamazoo, Michigan, United States|Phenomix Investigational Site 138, Biloxi, Mississippi, United States|Phenomix Investigational Site 122, Las Vegas, Nevada, United States|Phenomix Investigational Site 140, Las Vegas, Nevada, United States|Phenomix Investigational Site 131, Brick, New Jersey, United States|Phenomix Investigational Site 110, Trenton, New Jersey, United States|Phenomix Investigational Site 116, Albuquerque, New Mexico, United States|Phenomix Investigational Site 107, Winston-Salem, North Carolina, United States|Phenomix Investigational Site 130, Cincinnati, Ohio, United States|Phenomix Investigational Site 118, Cuyahoga Falls, Ohio, United States|Phenomix Investigational Site 112, Greenville, South Carolina, United States|Phenomix Investigational Site 102, Dallas, Texas, United States|Phenomix Investigational Site 139, Dallas, Texas, United States|Phenomix Investigational Site 126, El Paso, Texas, United States|Phenomix Investigational Site 104, San Antonio, Texas, United States|Phenomix Investigational Site 100, Kenosha, Wisconsin, United States|Phenomix Investigational Site 401, Buenos Aires, Argentina|Phenomix Investigational Site 402, Buenos Aires, Argentina|Phenomix Investigational Site 404, Buenos Aires, Argentina|Phenomix Investigational Site 405, Buenos Aires, Argentina|Phenomix Investigational Site 406, Buenos Aires, Argentina|Phenomix Investigational Site 407, Buenos Aires, Argentina|Phenomix Investigational Site 408, Buenos Aires, Argentina|Phenomix Investigational Site 409, Buenos Aires, Argentina|Phenomix Investigational Site 411, Buenos Aires, Argentina|Phenomix Investigational Site 403, Corrientes, Argentina|Phenomix Investigational Site 410, Mendoza, Argentina|Phenomix Investigational Site 400, Rosario, Argentina|Phenomix Investigational Site 502, Santiago, Chile|Phenomix Investigational Site 504, Santiago, Chile|Phenomix Investigational Site 505, Santiago, Chile|Phenomix Investigational Site 500, Temuco, Chile|Phenomix Investigational Site 501, Temuco, Chile|Phenomix Investigational Site 209, Chodov, Czech Republic|Phenomix Investigational Site 205, Havířov-Město, Czech Republic|Phenomix Investigational Site 204, Liberec, Czech Republic|Phenomix Investigational Site 202, Olomouc, Czech Republic|Phenomix Investigational Site 206, Ostrava Kunčice, Czech Republic|Phenomix Investigational Site 208, Praha, Czech Republic|Phenomix Investigational Site 203, Prostějov, Czech Republic|Phenomix Investigational Site 207, Uničov, Czech Republic|Phenomix Investigational Site 201, Valašské Klobouky, Czech Republic|Phenomix Investigational Site 703, Hyderabad, Andhara Pradesh, India|Phenomix Investigational Site 704, Visakhapatanam, Andhra Pradesh, India|Phenomix Investigational Site 709, Gopalapuram, Chennai, India|Phenomix Investigational Site 707, Shastrinagar, Jaipur, India|Phenomix Investigational Site 701, Bangalore, Karnataka, India|Phenomix Investigational Site 702, Bangalore, Karnataka, India|Phenomix Investigational Site 705, Trivandrum, Kerala, India|Phenomix Investigational Site 706, Indore, Madhya Pradesh, India|Phenomix Investigational Site 700, Nashik, Maharashtra, India|Phenomix Investigational Site 710, Navi Mumbai, Maharashtra, India|Phenomix Investigational Site 711, Mumbai, Maharastra, India|Phenomix Investigational Site 708, Chennai, India|Phenomix Investigational Site 607, Arequipa, Peru|Phenomix Investigational Site 605, Cercado de Lima, Peru|Phenomix Investigational Site 601, Ica, Peru|Phenomix Investigational Site 600, Lima, Peru|Phenomix Investigational Site 603, Lima, Peru|Phenomix Investigational Site 604, Lima, Peru|Phenomix Investigational Site 608, Lima, Peru|Phenomix Investigational Site 610, Lima, Peru|Phenomix Investigational Site 606, Piura, Peru|Phenomix Investigational Site 602, Trujillo, Peru|Phenomix Investigational Site 609, Wanchaq Cusco, Peru|Phenomix Investigational Site 300, Gdańsk, Poland|Phenomix Investigational Site 301, Gdańsk, Poland|Phenomix Investigational Site 303, Katowice, Poland|Phenomix Investigational Site 312, Katowice, Poland|Phenomix Investigational Site 309, Kraków, Poland|Phenomix Investigational Site 313, Kraków, Poland|Phenomix Investigational Site 308, Lublin, Poland|Phenomix Investigational Site 310, Poznan, Poland|Phenomix Investigational Site 306, Puławy, Poland|Phenomix Investigational Site 304, Szczecin, Poland|Phenomix Investigational Site 305, Warszawa, Poland|Phenomix Investigational Site 307, Warszawa, Poland|Phenomix Investigational Site 311, Warszawa, Poland|Phenomix Investigational Site 302, Wrocław, Poland"
